feature,importance_score
Education Level %,0.3107949178106738
reviews,0.13902285999657227
photos_count,0.11879097367755884
% Black,0.09014168511655779
longitude,0.07639960491835666
latitude,0.05903312795607622
Median Household Income,0.05453211010910484
Median Age,0.03546329919370131
Foreign Born Immigrant %,0.025239063916709964
% Asian,0.020889588856367828
% White,0.017816073667693517
% Hispanic/Latino,0.01682551788481794
Poverty Rate %,0.01618235571838523
Total Population,0.012674393320072
Neighborhood Turnover %,0.006194427857351755
