feature,importance_score
Fast food restaurant,0.27615667692691365
Education Level %,0.1436484273817526
Pizza delivery,0.1181487018595522
photos_count,0.1066047374811148
% Black,0.07530269771168453
Chicken restaurant,0.04084650530004727
Median Household Income,0.03590286722126325
reviews,0.035062224657571146
longitude,0.024644679396298236
Chinese restaurant,0.021764336576713034
latitude,0.01909227618921345
site,0.01527918965725791
Poverty Rate %,0.013769355572050479
% White,0.01061218642265956
Foreign Born Immigrant %,0.008873182829116567
Median Age,0.00844326595853668
Total Population,0.008322065407830764
booking_appointment_link,0.006719082058153382
% Asian,0.00658939094144392
% Hispanic/Latino,0.006423617101716615
Pizza restaurant,0.00568271411996115
Coffee shop,0.005042591118344981
Neighborhood Turnover %,0.003719784314609084
Mexican restaurant,0.001050400867359473
Caribbean restaurant,0.0010298324889300896
American restaurant,0.0005031497603832619
Vegetarian restaurant,0.00032774245105645245
Brunch restaurant,0.000288050591209524
Bar & grill,0.00015026763725601108
Vietnamese restaurant,0.0
Pizza Takeout,0.0
Pho restaurant,0.0
Pennsylvania Dutch restaurant,0.0
Organic restaurant,0.0
Middle Eastern restaurant,0.0
Vegan restaurant,0.0
Mediterranean restaurant,0.0
Liquor store,0.0
Latin American restaurant,0.0
Korean restaurant,0.0
Japanese restaurant,0.0
Jamaican restaurant,0.0
Italian restaurant,0.0
Israeli restaurant,0.0
Market,0.0
Pub,0.0
Polish restaurant,0.0
Pretzel store,0.0
Thai restaurant,0.0
Tex-Mex restaurant,0.0
Takeout Restaurant,0.0
Taco restaurant,0.0
Sports bar,0.0
Southern Italian restaurant,0.0
Soul food restaurant,0.0
Sichuan restaurant,0.0
Seafood restaurant,0.0
Sandwich shop,0.0
Salvadoran restaurant,0.0
Salad shop,0.0
Indonesian restaurant,0.0
Restaurant,0.0
Ramen restaurant,0.0
Puerto Rican restaurant,0.0
Traditional American restaurant,0.0
Irish pub,0.0
Greek restaurant,0.0
Indian restaurant,0.0
Colombian restaurant,0.0
Chinese takeaway,0.0
Chicken wings restaurant,0.0
Cheesesteak restaurant,0.0
Cambodian restaurant,0.0
Cafeteria,0.0
Cafe,0.0
Bubble tea store,0.0
Breakfast restaurant,0.0
Brazilian restaurant,0.0
Bar,0.0
Bakery,0.0
Bagel shop,0.0
Association / Organization,0.0
Asian restaurant,0.0
Asian fusion restaurant,0.0
African restaurant,0.0
Afghan restaurant,0.0
Cocktail bar,0.0
Convenience store,0.0
Ice cream shop,0.0
Creperie,0.0
Hoagie restaurant,0.0
Health food restaurant,0.0
Halal restaurant,0.0
Grill,0.0
Gastropub,0.0
Fried chicken takeaway,0.0
French restaurant,0.0
Fish & chips restaurant,0.0
Falafel restaurant,0.0
Ethiopian restaurant,0.0
Eritrean restaurant,0.0
Donut shop,0.0
Dominican restaurant,0.0
Diner,0.0
Dim sum restaurant,0.0
Dessert shop,0.0
Deli,0.0
West African restaurant,0.0
