,Best k,CV Avg. RMSE,Best k.1,CV Avg. RMSE.1,Best k.2,Min. RMSE,Best k,CV Avg. RMSE,RF CV RMSE,Best k,CV Avg. RMSE,Number of Restaurants
Allegheny West,38,0.2699544187648872,5,0.3179326625998802,6,0.3856027032437647,16,0.35036007506524275,0.3728129794654813,20,0.32975489392009855,9
Bella Vista,1,0.2421203617808655,4,0.1924316766342942,5,0.2305522239955507,14,0.28622574024713043,0.29039457914146305,2,0.28401579743421773,9
Bensalem,2,0.1666666666666668,48,0.519444444444444,0,1.0,19,0.53859649122807,0.6270498931412759,8,0.6435454051081534,3
Center City,12,0.3753239190645591,21,0.4573913132806793,5,0.4193942264593849,12,0.4306266613366689,0.4537293752616721,1,0.42023566653545413,25
Center City East,2,0.4142971745605465,50,0.4548093340126525,11,0.4318243971600257,20,0.442763333527216,0.4390149186571131,19,0.4521372926510415,49
Chestnut Hill,1,0.36961003870692,38,0.3729123040213483,6,0.4129984420243324,10,0.3045382795240411,0.34760876625928006,10,0.34069440068907186,8
East Germantown,15,0.3027689136097828,22,0.4200619860425599,10,0.4225069811820602,4,0.38276940099680895,0.41860785329150624,20,0.4325687185809518,13
East Kensington,2,0.083333333333333,16,0.11875,0,1.0,16,0.08541666666666685,0.13097473898495635,2,0.11008731966866699,3
East Passyunk Crossing,1,0.2847213595499959,13,0.3514785806849481,4,0.4133095189484529,5,0.28238965401897304,0.3815821409676553,12,0.33778276599148194,6
Elmwood Park,10,0.344593033235773,4,0.3345215731455521,11,0.3595741519221904,19,0.32464385894030623,0.3031954941459862,19,0.29146928330454436,18
Essington,23,0.4217391304347828,1,0.3249999999999999,0,1.0,10,0.23749999999999982,0.5409857295577658,2,0.2495626962095252,4
Fairhill,11,0.2677802931839183,23,0.3419721824859614,6,0.3729250953984336,16,0.34922572112790806,0.39220930357769135,19,0.371188687803827,13
Fairmount,7,0.342819421322578,4,0.3210799408055981,2,0.252940975179905,5,0.2530357820909097,0.31026046803815277,12,0.28293364049992575,12
Feltonville,24,0.2327937445911905,47,0.3656886336192109,10,0.3706378985203717,9,0.2471309240678127,0.30351958961805636,18,0.2869427460625496,12
Fishtown,5,0.5315584865527246,13,0.175108459979607,5,0.0447777053744319,7,0.24968718308224278,0.3091037100331103,5,0.2524361111466339,8
Fox Chase,9,0.3248392194573781,5,0.4127403447040269,2,0.3534515610799562,20,0.39957886639109014,0.41162520390774676,5,0.4282081488423689,11
Frankford,13,0.275483433894975,14,0.3385475402295115,10,0.3537122000543499,17,0.2616323068224725,0.28020470990799584,16,0.2854002621535896,16
Germantown,7,0.281290772045015,50,0.434182924032636,6,0.3272346390499872,10,0.2871142966666361,0.3086723319286495,9,0.31871003169366807,8
Harrowgate,3,0.08,15,0.190666666666667,0,1.0,20,0.258,0.22249841654094168,6,0.2646542642241906,5
Kingsessing,1,0.1789949493661167,12,0.2183333333333333,4,0.2901783442380911,15,0.3462502259228198,0.29237886239283356,6,0.27950200161196814,6
Lester,1,0.2999999999999998,1,0.0,0,1.0,1,0.0,0.3940690365410644,1,0.03018041965690399,2
Lower Moyamensing,5,0.1119999999999999,45,0.1875555555555555,0,1.0,20,0.18800000000000025,0.23015918794998402,9,0.20533121679600308,5
Manayunk,27,0.3703703703703702,50,0.349,0,1.0,4,0.28749999999999987,0.34821765945813676,4,0.28062125250032754,2
Mount Airy,16,0.372976036035039,21,0.3869972557602234,5,0.4532794348162546,20,0.3818016085862635,0.43856696335040823,18,0.4273106438679653,12
Newbold,2,0.2489470509284141,42,0.3580697900606053,5,0.3711474886390215,17,0.3707473874122095,0.40381412066146094,18,0.3913130586480153,11
Nicetown–Tioga,3,0.3000000000000001,4,0.2849999999999998,0,1.0,2,0.275,0.5013949325595081,3,0.4376296498749035,4
North Philadelphia,3,0.3412759614554466,46,0.4198992669004438,39,0.4099857065661824,20,0.4437076241428013,0.4440149742508549,15,0.45672506357916964,52
North Philadelphia East,8,0.4135246467535274,5,0.5103372978772039,3,0.5113299932785159,7,0.4815639873832162,0.5007644804374903,4,0.4348758707665194,39
Northeast Philadelphia,6,0.4111405993524236,49,0.4563609425872381,134,0.4516662976439887,16,0.44844375599365965,0.44985472603907717,14,0.45289709011195106,178
Northern Liberties,3,0.1741149517908245,7,0.2068598130258073,4,0.262195444572929,5,0.25166190378969044,0.28846182061900294,3,0.22551692470638934,6
Northwest Philadelphia,24,0.0,1,0.0,0,1.0,1,0.0,0.11965355386785248,1,0.06950961677365086,1
Ogontz,7,0.257595878013262,6,0.2894840376473105,5,0.4173869833499933,20,0.36742261289117645,0.37109916661131076,20,0.35886859449889796,8
