Best k,CV Avg. RMSE,Best k,CV Avg. RMSE,Best k,Min. RMSE,Number of Restaurants
38,0.26995441876488724,5,0.3179326625998802,6,0.3856027032437647,10
1,0.24212036178086552,4,0.1924316766342942,5,0.2305522239955507,9
2,0.16666666666666682,48,0.519444444444444,0,1.0,3
12,0.3753239190645591,21,0.45739131328067933,5,0.41939422645938496,25
2,0.4142971745605465,50,0.4548093340126525,11,0.4318243971600257,49
1,0.36961003870692005,38,0.37291230402134834,6,0.4129984420243324,8
15,0.30276891360978286,22,0.4200619860425599,10,0.4225069811820602,13
2,0.08333333333333304,16,0.11875000000000006,0,1.0,3
1,0.28472135954999594,13,0.35147858068494814,4,0.4133095189484529,6
10,0.344593033235773,4,0.33452157314555214,11,0.3595741519221904,18
23,0.42173913043478284,1,0.32499999999999996,0,1.0,4
11,0.2677802931839183,23,0.34197218248596145,6,0.3729250953984336,13
7,0.342819421322578,4,0.32107994080559815,2,0.252940975179905,12
24,0.2327937445911905,47,0.3656886336192109,10,0.37063789852037177,14
5,0.5315584865527246,13,0.17510845997960708,5,0.04477770537443192,8
9,0.3248392194573781,5,0.4127403447040269,2,0.35345156107995623,11
13,0.27548343389497504,14,0.3385475402295115,10,0.3537122000543499,17
7,0.281290772045015,50,0.43418292403263603,6,0.32723463904998723,8
3,0.08000000000000007,15,0.19066666666666707,0,1.0,5
1,0.17899494936611676,12,0.21833333333333332,4,0.29017834423809113,6
1,0.2999999999999998,1,0.0,0,1.0,2
5,0.11199999999999992,45,0.18755555555555556,0,1.0,5
27,0.37037037037037024,50,0.349,0,1.0,2
16,0.372976036035039,21,0.3869972557602234,5,0.45327943481625466,12
2,0.24894705092841413,42,0.3580697900606053,5,0.3711474886390215,11
3,0.3000000000000001,4,0.2849999999999998,0,1.0,5
3,0.3412759614554466,46,0.4198992669004438,39,0.40998570656618244,56
8,0.4135246467535274,5,0.5103372978772039,3,0.5113299932785159,40
6,0.41114059935242364,49,0.45636094258723814,134,0.45166629764398875,181
3,0.17411495179082453,7,0.20685981302580733,4,0.26219544457292904,6
24,0.0,1,0.0,0,1.0,1
7,0.257595878013262,6,0.2894840376473105,5,0.41738698334999336,8
10,0.30500000000000016,10,0.1200000000000001,0,1.0,2
13,0.18461538461538457,3,0.21999999999999967,0,1.0,5
2,0.3055068625518978,32,0.33499089951877986,16,0.3299535324580628,39
1,0.46321700038467634,7,0.3791362693727837,3,0.40940197785232374,7
3,0.3225817094166081,5,0.295439667726729,5,0.26989109814728945,21
1,0.29263332140270865,2,0.17595476016447914,3,0.11998702229625532,10
5,0.4277200007066364,3,0.4371759505168004,3,0.4085279257106875,46
5,0.34856523908140213,27,0.42392352692595414,33,0.4294471721522564,64
1,0.228352752886763,38,0.3672421278104075,2,0.36811742038868445,12
6,0.29966094655319486,18,0.30357227422828154,4,0.289089810349155,8
4,0.3927902224567647,2,0.28221927452547685,2,0.48266670233015246,8
3,0.4546150929710519,2,0.3758268516129793,4,0.4240260252558,20
1,0.1333333333333336,31,0.17311827956989254,0,1.0,3
2,0.2430108287740798,6,0.4179070506861888,14,0.4383093098395504,18
7,0.341542141434351,50,0.36826673135596577,8,0.35246015223650157,11
9,0.207215522479181,27,0.22476083573459085,6,0.2928147168613403,11
2,0.2777371067154462,4,0.317368941905127,6,0.22075839854900683,11
8,0.4509086242643323,19,0.4761091558720045,16,0.49688703853685273,114
6,0.11666666666666659,8,0.275,0,1.0,4
