Best k,CV Avg. RMSE,Best k,CV Avg. RMSE,Best k,Min. RMSE,Number of Restaurants
5,0.27230466144615617,48,0.34546432530804694,8,0.36063125176931965,22
5,0.26552556795195914,23,0.1904540728156962,6,0.20894927860441204,33
4,0.467987067523716,15,0.4765668554376318,4,0.7051135777277262,6
5,0.3515708984935683,18,0.3275393915897827,11,0.32217876254598804,128
5,0.3475615685446356,47,0.3395614247242439,10,0.3369994541224174,212
2,0.27180220753522694,38,0.301278096875388,1,0.27645548868033865,22
5,0.4098661725673861,10,0.49739245485296213,20,0.5345393321955324,26
5,0.22896088261178718,3,0.18998493780834924,8,0.2005618776403173,10
5,0.40118156485834655,7,0.30420348099223005,4,0.2680432779188838,26
2,0.3877353987956205,31,0.3752449618400862,26,0.3722894107259985,35
1,0.43017236257093805,4,0.2970820393249936,3,0.2907846135389046,6
4,0.3147749734068886,39,0.2982645057566582,16,0.32778395317369113,23
5,0.3401442831062556,5,0.38279257153176693,29,0.39928019062231246,39
5,0.3204480178577586,23,0.3634345938347985,19,0.38050896509431203,30
5,0.35812225381642143,40,0.3436338248021936,10,0.3367746694860059,50
5,0.3449688414635626,7,0.37662842585564277,4,0.3472658074555498,18
5,0.3637877818935755,25,0.35627647849233723,20,0.3558909722229203,29
4,0.3341824815892612,35,0.4052524410354038,18,0.404637497664765,26
5,0.2354344422724311,39,0.2743295179155851,4,0.35877357780602354,8
1,0.04999999999999982,1,0.04999999999999982,0,1.0,2
3,0.2598547563454832,15,0.3632669901904501,10,0.41937745297962525,14
5,0.8099999999999998,1,0.0,0,1.0,2
4,0.3129095660202842,27,0.3048450068333407,11,0.34514107708880176,15
1,0.5666666666666665,1,0.633333333333333,0,1.0,3
5,0.3608046892847064,48,0.3707199961845439,8,0.4104267293010569,22
4,0.3263650952588404,50,0.3728107637680284,5,0.3522692353991517,19
2,0.4015552638735976,2,0.3657393143012667,8,0.3767057485836502,21
5,0.40081874535094303,20,0.44442548339331117,54,0.428413331135455,92
3,0.37798025410418246,6,0.46038331809400257,36,0.4846874036098425,76
5,0.39102615773090077,27,0.432213265022351,114,0.436766343821105,373
5,0.2933276208176644,12,0.22920684654763743,2,0.21848203664349578,36
3,0.1499999999999999,47,0.12978723404255277,0,1.0,2
4,0.4730241808623733,10,0.4199787186693408,14,0.511430625056967,18
2,0.33750000000000047,2,0.4375000000000001,0,1.0,4
2,0.22435763682268192,5,0.1909982350639012,8,0.13753905296791072,10
5,0.4763972564847959,2,0.3896671988101949,1,0.4945068030855909,13
3,0.3702553069589055,12,0.4106247511079749,27,0.4238546624072031,90
1,0.4658374125534621,4,0.4316829256384519,2,0.38459606956168646,18
5,0.36244136665979176,6,0.40087578696717624,4,0.37338877991934905,34
5,0.23317664931095922,12,0.19067189077317068,9,0.19506867349064955,88
5,0.3765849162017788,9,0.3812510129425011,3,0.3805668777339737,106
5,0.535,7,0.3535714285714283,0,1.0,4
5,0.3384236419702535,48,0.41569228712728457,48,0.4198032749630798,127
2,0.2621025976561945,43,0.3436588533968883,4,0.3426655344833243,25
1,0.28005225342471374,46,0.30068586850281576,15,0.30451106769299663,27
4,0.3976062964094256,2,0.4394746194392429,2,0.41379213161995,27
3,0.5920294677607604,5,0.42910953142840497,5,0.46588598267024234,42
5,0.29969985379354563,25,0.192129350763814,6,0.17113234452925025,8
2,0.4303974920461896,49,0.4349904308617251,24,0.4388898159788722,32
3,0.30433839505432214,2,0.31304239677827345,10,0.35246571383081526,18
5,0.32654046385970636,34,0.35303511437448704,9,0.3992698580074561,17
5,0.672700740624772,7,0.5116353641886309,3,0.47131655512866305,44
5,0.4694786105297374,50,0.47741221676342394,30,0.4758795104554217,266
4,0.12609842369490792,5,0.25263627074411965,4,0.24449659973956525,7
